species	SD	H	DBH	Dwood			
Lecythis_ibiriba	biotic	20	11.8	0.814829			
Lecythis_lurida	biotic	35	15	0.86			
Lecythis_pisonis	biotic	6	73.94	0.86			
Libidibia_ferrea	abiotic	6	20	0.816			
Licania_kunthiana	biotic	7.5	22.24	0.88			
Licania_littoralis	biotic	14	25	0.819962			
Lonchocarpus_cultratus	abiotic	14	13.3	0.76098			
Lonchocarpus_sericeus	abiotic	20	49	0.75			
Luehea_ochrophylla	abiotic	5	16.7	0.568333			
Luehea_paniculata	abiotic	15	40	0.54			
Mabea_piriri	abiotic	20	18.57	0.59			
Machaerium_hirtum	abiotic	9	6.67	0.66			
Machaonia_acuminata	biotic	25	40	0.58			
Maclura_tinctoria	biotic	18.33	40.2	0.79			
Manihot_carthagenensis	biotic	3	7.5	0.49			
Manilkara_rufula	biotic	4	14.1	1.04			
Manilkara_salzmannii	biotic	4	10	1.03			
Manilkara_triflora	biotic	40.47	82	0.885127			
Margaritaria_nobilis	biotic	13.33	27.21	0.62			
Matayba_discolor	biotic	7	24	0.771333			
Matayba_guianensis	biotic	8.16	17.18	0.82			
Miconia_albicans	biotic	2	5.79	0.629222			
Miconia_amacurensis	biotic	7	21	0.65			
Miconia_amoena	biotic	3.5	11	0.6293			
Miconia_ferruginata	biotic	15.25	27	0.63			
Miconia_holosericea	biotic	7	15.9	0.62			
Miconia_ibaguensis	biotic	3	11.1	0.61			
Miconia_minutiflora	biotic	5	42.15	0.5			
Miconia_prasina	biotic	5	4.61	0.7			
Miconia_serialis	biotic	10	19.31	0.62			
Miconia_tomentosa	biotic	10	6.3	0.71			
Micropholis_gardneriana	biotic	15	10.66	0.65			
Mimosa_arenosa	biotic	10	5	1.01			
Mimosa_bimucronata	biotic	5	12.7	0.61			
Mimosa_caesalpiniifolia	abiotic	38	78	0.840889			
Mimosa_ophthalmocentra	abiotic	12	23.5	0.783			
Moquiniastrum_oligocephalum	abiotic	5	15.5	0.6			
Mouriri_guianensis	biotic	9	33.36	0.84			
Mouriri_pusa	biotic	22	52	0.84			
Myrcia_amazonica	biotic	9	14.8	0.82			
Myrcia_bergiana	biotic	5	10.1	0.8155			
Myrcia_decorticans	biotic	5	5	0.747558097			
Myrcia_ilheosensis	biotic	11.18	32	0.8155			
Myrcia_littoralis	biotic	8	13.5	0.8155			
Myrcia_multiflora	biotic	5	4.2	0.2			
Myrcia_polyantha	biotic	4	12	0.8155			
Myrcia_racemosa	biotic	3	6.48	0.71			
Myrcia_rosangelae	biotic	8	8.7	0.81			
Myrcia_splendens	biotic	5.9	8.46	0.8			
Myrcia_sylvatica	biotic	10	26	0.81			
Myrcia_tomentosa	biotic	7	5	0.82			
Myrcianthes_pseudomato	biotic	8	22	0.727			
Myrciaria_ferruginea	biotic	21.9	37	0.75			
Myrciaria_floribunda	biotic	5.3	13.2	0.785			
Myrciaria_tenella	biotic	2	12.3	0.6575			
Myrsine_guianensis	biotic	6	3.6	0.52			
Neomitranthes_obtusa	biotic	4	15.6	0.89			
Ocotea_canaliculata	biotic	14	25.36	0.47			
Ocotea_glomerata	biotic	7	14	0.5			
Ocotea_nitida	biotic	4.5	20.6	0.539			
Ocotea_notata	biotic	4.5	15	0.539082			
Ouratea_cuspidata	biotic	3	12.3	0.742			
Ouratea_fieldingiana	biotic	4	20	0.742556			
Ouratea_hexasperma	biotic	4.28	9.5	0.429467522			
Ouratea_salicifolia	biotic	9	26	0.742556			
Pagamea_guianensis	biotic	8	104.39	0.57			
Palicourea_guianensis	biotic	7.5	4.32	0.54			
Paralychnophora_reflexoauriculata	abiotic	4	8	0.6			
Parapiptadenia_zehntneri	abiotic	18	27.6	0.897333			
Parinari_littoralis	biotic	20	15	0.712558			
Parkia_pendula	biotic	50	44.69	0.52			
Paubrasilia_echinata	abiotic	15	24.34	1.1			
Peltogyne_pauciflora	abiotic	50	59	0.785601			
Peltophorum_dubium	abiotic	20	30.25	0.74			
Pera_glabrata	biotic	7.66	22.35	0.67			
Phyllanthus_acuminatus	abiotic	8	18	0.612571			
Phyllanthus_chacoensis	abiotic	7	14	0.612			
Picramnia_glazioviana	biotic	15.3	51	0.63			
Pilocarpus_spicatus	abiotic	18	90	1.05			
Piptadenia_gonoacantha	abiotic	15	35.55	0.715			
Pithecellobium_diversifolium	biotic	7	26.8	0.502262			
Pityrocarpa_moniliformis	abiotic	8	37.3	0.717			
Platymiscium_floribundum	abiotic	16	17	0.89			
Pogonophora_schomburgkiana	abiotic	27	25.58	0.83			
Posoqueria_latifolia	biotic	14.33	16.29	0.56			
Pradosia_lactescens	biotic	7.5	5.09	0.73			
Prockia_crucis	biotic	7	4.3	0.58			
Protium_aracouchini	biotic	20	24.19	0.55			
Protium_bahianum	biotic	14	22.7	0.568			
Protium_warmingianum	biotic	25	23.9	0.568211			
Pseudobombax_grandiflorum	abiotic	20	108	0.38			
Pseudobombax_parvifolium	abiotic	5	20	0.288611			
Pseudobombax_simplicifolium	abiotic	7	25	0.22			
Psidium_decussatum	biotic	5	8.84	0.855278			
Psidium_guineense	biotic	4	3.2	0.855			
Psidium_oligospermum	biotic	6	5.96	0.855278			
Psidium_schenckianum	biotic	4.29	7.49	0.855278			
Psychotria_carthagenensis	biotic	3	9	0.454484701			
Pterogyne_nitens	abiotic	6	20	0.69			
Randia_armata	biotic	11	8.6	0.8			
Rhamnidium_molle	biotic	15	66	0.79			
Richeria_grandis	abiotic	9.1	23.18	0.57			
Rinorea_guianensis	abiotic	20	19.05	0.78			
